state,state_uid,state_ID,pop,area,density
Acre,12,AC,881935,164123.737,5.3735980920298
Alagoas,27,AL,3337357,27848.14,119.841289220752
Amapá,16,AP,845731,142828.521,5.92130335089026
Amazonas,13,AM,4144597,1559146.876,2.6582466756647
Bahia,29,BA,14873064,564732.45,26.3364784509904
Ceará,23,CE,9132078,148887.633,61.3353696072259
Distrito Federal,53,DF,3015268,5779.997,521.672935124361
Espírito Santo,32,ES,4018650,46086.907,87.1972163373862
Goiás,52,GO,7018354,340106.492,20.6357542860429
Maranhão,21,MA,7075181,331936.949,21.3148341012196
Mato Grosso,51,MT,3484466,903202.446,3.85790142113942
Mato Grosso do Sul,50,MS,2778986,357145.531,7.78110254444147
Minas Gerais,31,MG,21168791,586520.732,36.0921444802398
Pará,15,PA,8602865,1247955.238,6.89356856563793
Paraíba,25,PB,4018127,56468.435,71.1570455246369
Paraná,41,PR,11433957,199307.939,57.3682968042733
Pernambuco,26,PE,9557071,98076.021,97.4455417598966
Piauí,22,PI,3273227,251611.929,13.0090294725255
Rio de Janeiro,33,RJ,17264943,43781.588,394.342548744463
Rio Grande do Norte,24,RN,3506853,52811.107,66.4037017818998
Rio Grande do Sul,43,RS,11377239,281737.888,40.3823535441566
Rondônia,11,RO,1777225,237765.293,7.47470321498941
Roraima,14,RR,605761,224300.805,2.70066351299988
Santa Catarina,42,SC,7164788,95737.954,74.8374881710967
São Paulo,35,SP,45919049,248219.627,184.993626632112
Sergipe,28,SE,2298696,21918.443,104.874967624297
Tocantins,17,TO,1572866,277720.412,5.66348720525447
